,name,naverURL,,,,,,,,,,
21,산동원,https://pcmap.place.naver.com/restaurant/15206970/review/visitor#,,,,,,,,,,
22,오크밸리클럽하우스,https://pcmap.place.naver.com/restaurant/1822668395/review/visitor#,,,,,,,,,,
23,래래반점,https://pcmap.place.naver.com/restaurant/15228654/review/visitor#,,,,,,,,,,
24,중앙동 래래반점,,,,,,,,,,,
25,아웃백스테이크하우스,,,,,,,,,,,
26,연강춘,https://pcmap.place.naver.com/restaurant/15210459/review/visitor#,,,,,,,,,,
27,옛날짜장,,,,,,,,,,,
28,전주샹그릴라컨트리클럽,https://pcmap.place.naver.com/restaurant/13374614/review/visitor#,,,,,,,,,,
29,대유식당,https://pcmap.place.naver.com/restaurant/38615032/review/visitor#,,,,,,,,,,
30,힐하우스,https://pcmap.place.naver.com/restaurant/11556918/review/visitor#,,,,,,,,,,
31,스완레스토랑,https://pcmap.place.naver.com/restaurant/17765694/review/visitor#,,,,,,,,,,
32,아미고,https://pcmap.place.naver.com/restaurant/19396011/review/visitor#,,,,,,,,,,
33,로마광광나이트,,,,,,,,,,,
34,명신반점,https://pcmap.place.naver.com/restaurant/1182973891/review/visitor#,,,,,,,,,,
35,갑천하,https://pcmap.place.naver.com/restaurant/11820389/review/visitor#,,,,,,,,,,
36,청도,,,,,,,,,,,
37,미스터왕,https://pcmap.place.naver.com/restaurant/1224473116/review/visitor#,,,,,,,,,,
38,화원,https://pcmap.place.naver.com/restaurant/12788192/review/visitor#,,,,,,,,,,
39,고려성,https://pcmap.place.naver.com/restaurant/18240900/review/visitor#,,,,,,,,,,
40,베나레스,https://pcmap.place.naver.com/restaurant/20510788/review/visitor#,,,,,,,,,,
41,곰의집,https://pcmap.place.naver.com/restaurant/91096679/review/visitor#,,,,,,,,,,
42,새골목집,https://pcmap.place.naver.com/restaurant/1020539163/review/visitor#,,,,,,,,,,
43,쿠아타이,https://pcmap.place.naver.com/restaurant/1916378805/review/visitor#,,,,,,,,,,
44,티원(T-Won),https://pcmap.place.naver.com/restaurant/11711429/review/visitor#,,,,,,,,,,
45,니시키,https://pcmap.place.naver.com/restaurant/1294321261/review/visitor#,,,,,,,,,,
46,판쵸스,https://pcmap.place.naver.com/restaurant/1613323713/review/visitor#,,,,,,,,,,
47,취룡,https://pcmap.place.naver.com/restaurant/19866377/review/visitor#,,,,,,,,,,
48,르어 이촌점,,,,,,,,,,,
49,(주)테크데이타 원효로지점 포이삽사,,,,,,,,,,,
50,경풍루,,,,,,,,,,,
51,빌라소르티노,,,,,,,,,,,
52,아그라,,,,,,,,,,,
53,웨스턴차이나,https://pcmap.place.naver.com/restaurant/19867372/review/visitor#,,,,,,,,,,
54,두바이,https://pcmap.place.naver.com/restaurant/19867570/review/visitor#,,,,,,,,,,
55,와즈완,https://pcmap.place.naver.com/restaurant/18326509/review/visitor#,,,,,,,,,,
56,마오,https://pcmap.place.naver.com/restaurant/18176484/review/visitor#,,,,,,,,,,
57,마이차이나,https://pcmap.place.naver.com/restaurant/442133627/review/visitor#,,,,,,,,,,
58,베를린,https://pcmap.place.naver.com/restaurant/38549799/review/visitor#,,,,,,,,,,
59,모글인테내셔날(파키스탄),,,,,,,,,,,
60,이탈리아노(이태리식),,,,,,,,,,,
61,세종식당(한국전통식),,,,,,,,,,,
62,남해숫불갈비(한국전통식),,,,,,,,,,,
63,파타야,https://pcmap.place.naver.com/restaurant/13157997/review/visitor#,,,,,,,,,,
64,챠크라,https://pcmap.place.naver.com/restaurant/11842923/review/visitor#,,,,,,,,,,
65,(주) 타이가든,,,,,,,,,,,
66,메르하바,https://pcmap.place.naver.com/restaurant/1595577997/review/visitor#,,,,,,,,,,
67,북경,https://pcmap.place.naver.com/restaurant/33704700/review/visitor#,,,,,,,,,,
68,현경한남점,,,,,,,,,,,
69,알리바바,https://pcmap.place.naver.com/restaurant/1271949175/review/visitor#,,,,,,,,,,
70,파챠이,https://pcmap.place.naver.com/restaurant/19877432/review/visitor#,,,,,,,,,,
71,사이공그릴,,,,,,,,,,,
72,사쿠라,https://pcmap.place.naver.com/restaurant/1738566808/review/visitor#,,,,,,,,,,
73,마이타이,https://pcmap.place.naver.com/restaurant/1885750246/review/visitor#,,,,,,,,,,
74,쉐프마일리오스트리아,,,,,,,,,,,
75,타지펠리스,https://pcmap.place.naver.com/restaurant/19546004/review/visitor#,,,,,,,,,,
76,솔티노,,,,,,,,,,,
77,비냐,https://pcmap.place.naver.com/restaurant/1811132491/review/visitor#,,,,,,,,,,
78,카레타운,https://pcmap.place.naver.com/restaurant/1304355062/review/visitor#,,,,,,,,,,
79,만리장성,https://pcmap.place.naver.com/restaurant/32049541/review/visitor#,,,,,,,,,,
80,한국아미고스(주),,,,,,,,,,,
81,오샬,https://pcmap.place.naver.com/restaurant/13508231/review/visitor#,,,,,,,,,,
82,싸루(SARU)인도&네팔푸드레스토랑,,,,,,,,,,,
83,푸드카페앤그릴,,,,,,,,,,,
84,고매식,https://pcmap.place.naver.com/restaurant/1730220732/review/visitor#,,,,,,,,,,
85,올라마리오,,,,,,,,,,,
86,인디아,https://pcmap.place.naver.com/restaurant/37420517/review/visitor#,,,,,,,,,,
87,꼬메돌,https://pcmap.place.naver.com/restaurant/35395171/review/visitor#,,,,,,,,,,
88,마러커쉬나이트,https://pcmap.place.naver.com/restaurant/11893060/review/visitor#,,,,,,,,,,
89,가사안토니오,,,,,,,,,,,
90,댈리달발,https://pcmap.place.naver.com/restaurant/37868216/review/visitor#,,,,,,,,,,
91,왕타이,https://pcmap.place.naver.com/restaurant/35424911/review/visitor#,,,,,,,,,,
92,파파스 차이나,https://pcmap.place.naver.com/restaurant/37853695/review/visitor#,,,,,,,,,,
93,(주)푸드베네치아하남점,,,,,,,,,,,
94,동천홍,,,,,,,,,,,
95,청해루,https://pcmap.place.naver.com/restaurant/1133130515/review/visitor#,,,,,,,,,,
96,만다린,https://pcmap.place.naver.com/restaurant/32096312/review/visitor#,,,,,,,,,,
97,천년의 정원,https://pcmap.place.naver.com/restaurant/18677984/review/visitor#,,,,,,,,,,
98,동방명주,https://pcmap.place.naver.com/restaurant/1667151941/review/visitor#,,,,,,,,,,
99,천안문,https://pcmap.place.naver.com/restaurant/1835680913/review/visitor#,,,,,,,,,,
100,오후청,https://pcmap.place.naver.com/restaurant/1785786794/review/visitor#,,,,,,,,,,
101,차이나공,https://pcmap.place.naver.com/restaurant/35032725/review/visitor#,,,,,,,,,,
102,영일만회천국,,,,,,,,,,,
103,젠클럽레스토랑,,,,,,,,,,,
104,폴라리스,https://pcmap.place.naver.com/restaurant/31192573/review/visitor#,,,,,,,,,,
105,오케이테마타운,,,,,,,,,,,
106,아웃백스테이크하우스,,,,,,,,,,,
